日期,人次
2019-07-01,2146712
2019-07-02,2137413
2019-07-03,2219484
2019-07-04,2215922
2019-07-05,2393004
2019-07-06,1992612
2019-07-07,1754112
2019-07-08,2189598
2019-07-09,2220828
2019-07-10,2254942
2019-07-11,2231285
2019-07-12,2383227
2019-07-13,2002296
2019-07-14,1709290
2019-07-15,2180620
2019-07-16,2234802
2019-07-17,2231463
2019-07-18,2138479
2019-07-19,2338875
2019-07-20,1932369
2019-07-21,1684521
2019-07-22,2157185
2019-07-23,2211189
2019-07-24,2257826
2019-07-25,2288938
2019-07-26,2418402
2019-07-27,2076734
2019-07-28,1794152
2019-07-29,2188165
2019-07-30,2232554
2019-07-31,2261987
2019-08-01,2261051
2019-08-02,2397796
2019-08-03,2104796
2019-08-04,1758758
2019-08-05,2201806
2019-08-06,2264649
2019-08-07,2302859
2019-08-08,2086871
2019-08-09,813958
2019-08-10,1973811
2019-08-11,1739375
2019-08-12,2247036
2019-08-13,2289377
2019-08-14,2277117
2019-08-15,2198038
2019-08-16,2426712
2019-08-17,2034991
2019-08-18,1693914
2019-08-19,2198403
2019-08-20,2249901
2019-08-21,2232619
2019-08-22,2295045
2019-08-23,2423155
2019-08-24,1726851
2019-08-25,1699301
2019-08-26,2181093
2019-08-27,2228851
2019-08-28,2242856
2019-08-29,2187409
2019-08-30,2311457
2019-08-31,1950131
2019-09-01,1622364
2019-09-02,2137875
2019-09-03,2196275
2019-09-04,2175996
2019-09-05,2217529
2019-09-06,2423333
2019-09-07,2025820
2019-09-08,1789739
2019-09-09,2216601
2019-09-10,2275028
2019-09-11,2308020
2019-09-12,2432243
2019-09-13,1543541
2019-09-14,1681426
2019-09-15,1510452
2019-09-16,2192473
2019-09-17,2251717
2019-09-18,2279794
2019-09-19,2308109
2019-09-20,2531483
2019-09-21,2020369
2019-09-22,1771175
2019-09-23,2212392
2019-09-24,2250153
2019-09-25,2286767
2019-09-26,2299459
2019-09-27,2478390
2019-09-28,1964310
2019-09-29,1769011
2019-09-30,701474
2019-10-01,2292059
2019-10-02,2319388
2019-10-03,2349609
2019-10-04,2470203
2019-10-05,2458688
2019-10-06,1824087
2019-10-07,2241757
2019-10-08,2297474
2019-10-09,2451561
2019-10-10,1940566
2019-10-11,1956760
2019-10-12,1960243
2019-10-13,1706602
2019-10-14,2186486
2019-10-15,2229916
2019-10-16,2277826
2019-10-17,2312855
2019-10-18,2494517
2019-10-19,2146871
2019-10-20,1853372
2019-10-21,2230754
2019-10-22,2286748
2019-10-23,2305184
2019-10-24,2313929
2019-10-25,2529368
2019-10-26,2314110
2019-10-27,1843143
2019-10-28,2222420
2019-10-29,2246516
2019-10-30,2274647
2019-10-31,2304229
2019-11-01,2462968
2019-11-02,2103402
2019-11-03,1717363
2019-11-04,2195311
2019-11-05,2251923
2019-11-06,2307192
2019-11-07,2334568
2019-11-08,2563253
2019-11-09,2253291
2019-11-10,1887435
2019-11-11,2300711
2019-11-12,2305479
2019-11-13,2335931
2019-11-14,2345824
2019-11-15,2615037
2019-11-16,2325753
2019-11-17,1984957
2019-11-18,2291053
2019-11-19,2300936
2019-11-20,2329448
2019-11-21,2355456
2019-11-22,2546311
2019-11-23,2192528
2019-11-24,1859871
2019-11-25,2251006
2019-11-26,2307430
2019-11-27,2349375
2019-11-28,2365068
2019-11-29,2596467
2019-11-30,2295646
2019-12-01,1914142
2019-12-02,2245875
2019-12-03,2319407
2019-12-04,2341696
2019-12-05,2368515
2019-12-06,2611112
2019-12-07,2262149
2019-12-08,2035733
2019-12-09,2299717
2019-12-10,2349695
2019-12-11,2372944
2019-12-12,2415867
2019-12-13,2653303
2019-12-14,2520095
2019-12-15,2158768
2019-12-16,2338102
2019-12-17,2372364
2019-12-18,2395700
2019-12-19,2408026
2019-12-20,2666951
2019-12-21,2338324
2019-12-22,1962469
2019-12-23,2382264
2019-12-24,2474867
2019-12-25,2519285
2019-12-26,2464296
2019-12-27,2656848
2019-12-28,2296395
2019-12-29,1775710
2019-12-30,2467977
2019-12-31,3058226
2020-01-01,1912376
2020-01-02,2374925
2020-01-03,2558016
2020-01-04,2129087
2020-01-05,1768367
