時段,進站,人次
5,民權西路,1640
5,永安市場,1364
5,永寧,460
5,永春,1470
5,江子翠,2041
5,海山,1040
5,淡水,2501
5,港墘,670
5,石牌,6964
5,秀朗橋,75
5,科技大樓,710
5,竹圍,633
5,紅樹林,574
5,芝山,3352
5,菜寮,743
5,萬芳社區,125
5,萬芳醫院,422
5,萬隆,779
5,葫洲,787
5,蘆洲,784
5,行天宮,1280
5,西湖,367
5,西門,10587
5,象山,2523
5,輔大,598
5,辛亥,178
5,迴龍,616
5,關渡,485
5,雙連,1063
5,頂埔,560
5,頂溪,2549
5,頭前庄,423
5,麟光,277
5,龍山寺,3114
6,BL板橋,1022709
6,Y板橋,108089
6,七張,690228
6,三和國中,905373
6,三民高中,840930
6,三重,271724
6,三重國小,865236
6,中原,37067
6,中和,122619
6,中山,457546
6,中山國中,337029
6,中山國小,543952
6,中正紀念堂,378095
6,丹鳳,616717
6,亞東醫院,1303473
6,信義安和,366310
6,先嗇宮,139753
6,內湖,317176
6,公館,644244
6,六張犁,362816
6,劍南路,158927
6,劍潭,913914
6,動物園,69697
6,北投,961141
6,北門,180427
6,十四張,22131
6,南京三民,402839
6,南京復興,526534
6,南勢角,1372896
6,南港,456929
6,南港展覽館,1151612
6,南港軟體園區,35590
6,古亭,708827
6,台北101/世貿,307317
6,台北小巨蛋,228045
6,台北橋,521479
6,台北車站,2487551
6,台大醫院,136546
6,台電大樓,445507
6,唭哩岸,500771
6,善導寺,209718
6,國父紀念館,315196
6,圓山,935628
6,土城,442327
6,士林,775929
6,大坪林,749415
6,大安,339809
6,大安森林公園,160273
6,大橋頭站,440164
6,大湖公園,107509
6,大直,178571
6,奇岩,488663
6,小南門,107714
6,小碧潭,98418
6,市政府,683033
6,幸福,86719
6,府中,1383217
6,後山埤,639085
6,徐匯中學,674642
6,復興崗,273192
6,忠孝復興,465538
6,忠孝敦化,407581
6,忠孝新生,379055
6,忠義,129098
6,文德,145238
6,新北投,89752
6,新北產業園區,45176
6,新埔,2018388
6,新埔民生,59396
6,新店,633711
6,新店區公所,504537
6,新莊,532633
6,昆陽,417649
6,明德,550538
6,景安,1298269
6,景平,95106
6,景美,635829
6,木柵,153306
6,東湖,303884
6,東門,375198
6,松山,564534
6,松山機場,76187
6,松江南京,309910
6,板新,73890
6,橋和,15434
6,民權西路,624471
6,永安市場,1290410
6,永寧,578815
6,永春,593833
6,江子翠,1433622
6,海山,1399793
6,淡水,1671248
6,港墘,230776
6,石牌,1058923
6,秀朗橋,74322
6,科技大樓,285563
6,竹圍,559820
6,紅樹林,394123
6,芝山,792694
6,菜寮,538989
6,萬芳社區,96354
6,萬芳醫院,382199
6,萬隆,505572
6,葫洲,306803
6,蘆洲,929423
6,行天宮,421200
6,西湖,154609
6,西門,1486133
6,象山,288416
6,輔大,364168
6,辛亥,170338
6,迴龍,602454
6,關渡,590567
6,雙連,380870
6,頂埔,552442
6,頂溪,1758251
6,頭前庄,233546
6,麟光,211621
6,龍山寺,1359937
7,BL板橋,4733446
7,Y板橋,468155
7,七張,2829695
7,三和國中,3259637
7,三民高中,3145586
7,三重,1332426
7,三重國小,3043764
7,中原,130635
7,中和,410490
7,中山,1359676
7,中山國中,1617903
7,中山國小,1511918
7,中正紀念堂,1603506
7,丹鳳,2808268
7,亞東醫院,5173717
7,信義安和,1256164
7,先嗇宮,520405
7,內湖,1714460
7,公館,1858802
7,六張犁,1640172
7,劍南路,872274
7,劍潭,2926906
7,動物園,588311
7,北投,3460085
7,北門,1032106
7,十四張,120215
7,南京三民,1807222
7,南京復興,1830153
7,南勢角,5025680
7,南港,2292073
7,南港展覽館,4811720
7,南港軟體園區,259512
7,古亭,2812113
7,台北101/世貿,1034201
7,台北小巨蛋,913409
7,台北橋,1923561
7,台北車站,10258671
7,台大醫院,477285
7,台電大樓,1817578
7,唭哩岸,1655777
7,善導寺,757816
7,國父紀念館,988608
7,圓山,3901282
7,土城,1728850
7,士林,2652591
7,大坪林,3062419
7,大安,1320103
7,大安森林公園,677030
7,大橋頭站,1655062
7,大湖公園,697889
7,大直,896694
7,奇岩,1727236
7,小南門,550631
7,小碧潭,443605
7,市政府,2606458
7,幸福,393019
7,府中,5417108
7,後山埤,2417986
7,徐匯中學,2855826
7,復興崗,919083
7,忠孝復興,1574850
7,忠孝敦化,1029277
7,忠孝新生,1518429
7,忠義,428513
7,文德,832083
7,新北投,482589
7,新北產業園區,226560
7,新埔,7962267
7,新埔民生,226848
7,新店,2685662
7,新店區公所,2266995
7,新莊,2553412
7,昆陽,1439758
7,明德,1936077
7,景安,5705362
7,景平,361578
7,景美,2378186
7,木柵,646399
7,東湖,1731243
7,東門,1436188
7,松山,2787107
7,松山機場,424855
7,松江南京,1044971
7,板新,273269
7,橋和,50960
7,民權西路,1819753
7,永安市場,5137671
7,永寧,2534380
7,永春,2258120
7,江子翠,5440765
7,海山,5175347
7,淡水,6526686
7,港墘,1169089
7,石牌,3626822
7,秀朗橋,293223
7,科技大樓,1305233
7,竹圍,1968678
7,紅樹林,2015303
7,芝山,3015769
7,菜寮,2354230
7,萬芳社區,568299
7,萬芳醫院,1904941
7,萬隆,2096674
7,葫洲,1458360
7,蘆洲,4173568
7,行天宮,1545699
7,西湖,734905
7,西門,4174077
7,象山,1282012
7,輔大,1246200
7,辛亥,700309
7,迴龍,3093342
7,關渡,1619239
7,雙連,1219394
7,頂埔,1852916
7,頂溪,6765164
7,頭前庄,1100026
7,麟光,892882
7,龍山寺,4184484
8,BL板橋,10251523
8,Y板橋,831325
8,七張,4968943
8,三和國中,5727351
8,三民高中,5522155
8,三重,2310977
8,三重國小,4893547
8,中原,178347
8,中和,651957
8,中山,2658442
8,中山國中,3066329
8,中山國小,2841829
8,中正紀念堂,2982607
8,丹鳳,4483652
8,亞東醫院,9320327
8,信義安和,2389751
8,先嗇宮,858257
8,內湖,3182084
8,公館,3242934
8,六張犁,3203866
8,劍南路,1661003
8,劍潭,4260614
8,動物園,1406122
8,北投,5320299
8,北門,2018238
8,十四張,210430
8,南京三民,3492983
8,南京復興,3365308
8,南勢角,10031154
8,南港,4454684
8,南港展覽館,7664145
8,南港軟體園區,480594
8,古亭,5288445
8,台北101/世貿,2028140
8,台北小巨蛋,1777578
8,台北橋,3322387
8,台北車站,22065019
8,台大醫院,927465
8,台電大樓,3128784
8,唭哩岸,2685537
8,善導寺,1414571
8,國父紀念館,1937585
8,圓山,5454533
8,土城,2963550
8,士林,4469651
8,大坪林,5410390
8,大安,2816030
8,大安森林公園,1261395
8,大橋頭站,2867467
8,大湖公園,1314051
8,大直,1890658
8,奇岩,2783246
8,小南門,1178637
8,小碧潭,796733
8,市政府,4389327
8,幸福,696145
8,府中,10295573
8,後山埤,4575506
8,徐匯中學,5389403
8,復興崗,1296120
8,忠孝復興,2772820
8,忠孝敦化,1943065
8,忠孝新生,2850653
8,忠義,544611
8,文德,1636221
8,新北投,764678
8,新北產業園區,374843
8,新埔,15194562
8,新埔民生,320534
8,新店,4749317
8,新店區公所,4483552
8,新莊,4566485
8,昆陽,2558600
8,明德,3483843
8,景安,10812987
8,景平,579715
8,景美,4438585
8,木柵,1312438
8,東湖,3387339
8,東門,2918012
8,松山,6007281
8,松山機場,708027
8,松江南京,2236270
8,板新,435294
8,橋和,75466
8,民權西路,2838109
8,永安市場,10995881
8,永寧,4145733
8,永春,4527456
8,江子翠,9791975
8,海山,9539869
8,淡水,9742823
8,港墘,2312629
8,石牌,6302290
8,秀朗橋,517629
8,科技大樓,2995657
8,竹圍,2752011
8,紅樹林,3588626
8,芝山,5892333
8,菜寮,3959945
8,萬芳社區,1295074
8,萬芳醫院,4487092
8,萬隆,3771422
8,葫洲,2789484
8,蘆洲,7019979
8,行天宮,2855433
8,西湖,1519353
8,西門,8013246
8,象山,2378242
8,輔大,2468792
8,辛亥,1595929
8,迴龍,4831100
8,關渡,2107215
8,雙連,2138838
8,頂埔,3268667
8,頂溪,13521426
8,頭前庄,2001512
8,麟光,1672375
8,龍山寺,6216183
9,BL板橋,6093646
9,Y板橋,447179
9,七張,3080765
9,三和國中,2902359
9,三民高中,2777692
9,三重,1184651
9,三重國小,2725561
9,中原,109434
9,中和,367784
9,中山,2105530
9,中山國中,1866451
9,中山國小,1991313
9,中正紀念堂,2103677
9,丹鳳,2346178
9,亞東醫院,5062537
9,信義安和,1658633
9,先嗇宮,471897
9,內湖,1861344
9,公館,2442056
9,六張犁,1944700
9,劍南路,997522
9,劍潭,3239617
9,動物園,669447
9,北投,3087293
9,北門,1242329
9,十四張,106579
9,南京三民,2234669
9,南京復興,2420514
9,南勢角,5182355
9,南港,2749095
9,南港展覽館,4627215
9,南港軟體園區,315552
9,古亭,3677071
9,台北101/世貿,1367496
9,台北小巨蛋,1277712
9,台北橋,1879053
9,台北車站,17615046
9,台大醫院,1405338
9,台電大樓,2037116
9,唭哩岸,1518480
9,善導寺,1333203
9,國父紀念館,1291140
9,圓山,3816952
9,土城,1659489
9,士林,3027257
9,大坪林,3258549
9,大安,2043841
9,大安森林公園,945474
9,大橋頭站,1920871
9,大湖公園,754896
9,大直,1142304
9,奇岩,1528096
9,小南門,765623
9,小碧潭,435003
9,市政府,3291010
9,幸福,321051
9,府中,6047316
9,後山埤,2760186
9,徐匯中學,2724688
9,復興崗,690672
9,忠孝復興,2195920
9,忠孝敦化,1513657
9,忠孝新生,2117486
9,忠義,355183
9,文德,939709
9,新北投,526193
9,新北產業園區,197645
9,新埔,8379418
9,新埔民生,144582
9,新店,2591198
9,新店區公所,2583177
9,新莊,2174536
9,昆陽,1767842
9,明德,2297640
9,景安,6151447
9,景平,291889
9,景美,2686276
9,木柵,804684
9,東湖,1840936
9,東門,2241524
9,松山,3029039
9,松山機場,559264
9,松江南京,1828469
9,板新,223321
9,橋和,49224
